item_name,ingredient_1,ingredient_2,ingredient_3,success_rate,failure_effect,station
Caffeine Gradient Booster,Loss Function Sap,CUDA Kernel Ember,Memory Leak Elixir,70%,Minor slag,terminal
Cache Purge Tonic,Gradient Descent Tears,Cache Invalidation Brew,Null Pointer Solvent,70%,Minor slag,terminal
Hot Patch Injection,Binary Code Shards,API Endpoint Salts,Garbage Collector Tonic,70%,Minor slag,terminal
Context Window Expansion,Token Embedding Vapor,Attention Mechanism Dew,Virtual Machine Emulsion,70%,Minor slag,terminal
Hyperparameter Tuning Shot,Epoch Cycle Blood,PyTorch Flux Core,Halting Problem Paradox,55%,Explosion (15% damage),terminal
Stable Diffusion Sequence,Latent Space Fog,Token Embedding Vapor,PyTorch Flux Core,70%,Minor slag,terminal
GAN Mirage Scroll,Latent Space Fog,GPU Render Flame,Overclock Catalyst Spark,60%,Explosion (10% damage),terminal
Transformer Attention Ritual,Attention Mechanism Dew,Epoch Cycle Blood,TensorFlow Igniter,60%,Explosion (10% damage),terminal
Reinforcement Learning Prophecy,Gradient Descent Tears,Loss Function Sap,TensorFlow Igniter,60%,Explosion (10% damage),terminal
Bayesian Inference Divination,Attention Mechanism Dew,Checksum Verify Acid,Virtual Machine Emulsion,70%,Minor slag,terminal
Genetic Algorithm Evolution,Halting Problem Paradox,Nanobot Swarm Gel,PyTorch Flux Core,55%,Explosion (20% damage),terminal
Prompt Engineering Curse,Token Embedding Vapor,Hash Collision Powder,Lambda Calculus Vapor,55%,Explosion (15% damage),terminal
Recursive Function Spiral,Loss Function Sap,CUDA Kernel Ember,Null Pointer Solvent,70%,Minor slag,terminal
Monte Carlo Simulation Rune,Latent Space Fog,Regex Pattern Filaments,Kubernetes Pod Nectar,60%,Explosion (10% damage),terminal
Gradient Vanishing Hex,Gradient Descent Tears,Backpropagation Serum,Memory Leak Elixir,70%,Minor slag,terminal
AlphaGo Neural Core,Alpha Zero Primal Seed,Quantum Bit Residue,Magnetic Resonance Fluid,45%,Catastrophic explosion (50% damage),foundry
Quantum Annealer Processor,Kolmogorov Complexity Crystal,Quantum Bit Residue,CUDA Kernel Ember,40%,Catastrophic explosion (50% damage),foundry
Von Neumann Self-Replicator,Von Neumann Probe Spores,Nanobot Swarm Gel,Hydraulic Compression Pulse,45%,Catastrophic explosion (50% damage),foundry
Satoshi Genesis Block Signet,Kolmogorov Complexity Crystal,Binary Code Shards,Industrial Flux Paste,45%,Catastrophic explosion (50% damage),foundry
GPT Oracle Crystal,Token Embedding Vapor,Lambda Calculus Vapor,Turing Machine Essence,40%,Catastrophic explosion (50% damage),terminal
Blockchain Soulbound Key,Binary Code Shards,Von Neumann Probe Spores,Kubernetes Pod Nectar,45%,Catastrophic explosion (50% damage),terminal
Federated Learning Nexus,Gradient Descent Tears,Kubernetes Pod Nectar,Church-Turing Thesis Core,40%,Catastrophic explosion (50% damage),terminal
Rust Borrow Checker Amulet,Silicon Wafer Dust,Halting Problem Paradox,Garbage Collector Tonic,40%,Catastrophic explosion (50% damage),terminal
Hugging Face Model Repository,Token Embedding Vapor,Docker Image Distillate,Lambda Calculus Vapor,45%,Catastrophic explosion (50% damage),terminal
Dijkstra Shortest Path Compass,Church-Turing Thesis Core,Attention Mechanism Dew,Async Await Pulse,40%,Catastrophic explosion (50% damage),terminal
Diagnostic Probe Array,Silicon Wafer Dust,Electron Flux Crystals,Industrial Flux Paste,70%,Minor slag,foundry
Soldering Gauntlet,Tungsten Carbide Filings,Salvaged Servo Joint,Arc Welder Discharge,70%,Minor slag,foundry
Salvage Extraction Claw,Titanium Mesh Strip,Hydraulic Compression Pulse,Industrial Flux Paste,70%,Minor slag,foundry
Portable Foundry Anvil,Plasma Server Slag,Tungsten Carbide Filings,Arc Welder Discharge,60%,Explosion (15% damage),foundry
Hydraulic Jack Lifter,Salvaged Servo Joint,Coolant Gel Canister,Hydraulic Compression Pulse,70%,Minor slag,foundry
Arc Welder Repair Rig,Electron Flux Crystals,Tungsten Carbide Filings,Magnetic Resonance Fluid,70%,Minor slag,foundry
Git Rollback Module,Binary Code Shards,Fiber Optic Threads,Cache Invalidation Brew,70%,Minor slag,terminal
Docker Containerizer,Docker Image Distillate,Nanobot Swarm Gel,Virtual Machine Emulsion,70%,Minor slag,terminal
Kubernetes Orchestrator,Kubernetes Pod Nectar,Plasma Server Slag,Async Await Pulse,60%,Explosion (10% damage),terminal
Wireshark Packet Sniffer,Fiber Optic Threads,API Endpoint Salts,Regex Pattern Filaments,70%,Minor slag,terminal
Nmap Reconnaissance Scanner,Fiber Optic Threads,Regex Pattern Filaments,Virtual Machine Emulsion,70%,Minor slag,terminal
Vim Reality Editor,Base64 Encoded Slime,Hash Collision Powder,Null Pointer Solvent,60%,Explosion (15% damage),terminal
Proximity Mine Cluster,Electron Flux Crystals,Arc Welder Discharge,Industrial Flux Paste,70%,Minor slag,foundry
Razor Wire Entanglement Rig,Fiber Optic Threads,Tungsten Carbide Filings,Industrial Flux Paste,70%,Minor slag,foundry
Turret Drone Sentry,Titanium Mesh Strip,Salvaged Servo Joint,Arc Welder Discharge,70%,Minor slag,foundry
Magnetic Tether Trap,Electron Flux Crystals,Titanium Mesh Strip,Hydraulic Compression Pulse,70%,Minor slag,foundry
EMP Pulse Landmine,Quantum Bit Residue,Plasma Server Slag,Magnetic Resonance Fluid,60%,Explosion (15% damage),foundry
Honeypot Decoy Server,Binary Code Shards,API Endpoint Salts,Docker Image Distillate,70%,Minor slag,terminal
Logic Bomb Tripwire,Binary Code Shards,Payload Injection Droplets,Async Await Pulse,70%,Minor slag,terminal
Cryptojacker Leech Node,Electron Flux Crystals,GPU Render Flame,Memory Leak Elixir,70%,Minor slag,terminal
Rootkit Persistence Mine,Base64 Encoded Slime,OAuth Token Ichor,Garbage Collector Tonic,70%,Minor slag,terminal
Packet Storm Jammer,Quantum Bit Residue,Regex Pattern Filaments,JIT Compiler Surge,60%,Explosion (10% damage),terminal
